attore,film,anno
Sarah Chadwick,"The Adventures of Priscilla, Queen of the Desert",1994
Clark Gable,Gone With the Wind,1939
Triple H,The Chaperone,2011
Chris Messina,The Giant Mechanical Man,2012
Mischa Auer,You Can't Take It With You,1938
Donald Sutherland,Final Fantasy: The Spirits Within,2001
Agnes Kittelsen,"Happy, Happy",2011
Woody Harrelson,The Hunger Games,2012
Carlton Williams,Crooklyn,1994
Alison Wright,Confirmation,2016
Aksel Hennie,Hercules,2014
Rick Rubin,One Track Heart: The Story of Krishna Das,2013
Jack Davenport,Immortality,2000
August Diehl,Salt,2010
Jeanne Moreau,"I Love You, I Love You Not",1997
Raffey Cassidy,Tomorrowland,2015
Arthur Kennedy,The Man From Laramie,1955
Jack Weston,Ishtar,1987
Clara Lago,Extinction,2015
Dan Stevens (IV),The Man Who Invented Christmas,2017
Kestie Morassi,The Wedding Party,2011
Beth Orton,Southlander: Diary of a Desperate Musician,2001
Charles Durning,Dark Night of the Scarecrow,1981
Jodelle Ferland,Case 39,2010
Frank Puglia,Jungle Book,1942
Una Merkel,The Bat Whispers,1930
"O'Shea Jackson, Jr.",Ingrid Goes West,2017
Christopher Plummer,Hector And The Search For Happiness,2014
John C. McGinley,The Belko Experiment,2017
Matthew Le Nevez,Man-Thing,2005
Eddie Murphy,Shrek the Third,2007
Lee Young-suck,Mother (Madeo),2010
Dan Soder,It Had to Be You,2016
Clive Owen,Duplicity,2009
Kirby Dick,The Invisible War,2012
Tim Draxl,In My Sleep,2010
Paul McGillion,The Traveler,2010
Sadie Frost,A Pyromaniac's Love Story,1995
Mike Judge,Beavis and Butt-head Do America,1996
Kevin Spacey,The United States of Leland,2004
Florian Fricke,The Enigma of Kaspar Hauser (Jeder fr sich und Gott gegen alle)(Every Man for Himself and God Against All),1974
George Brent,Baby Face,1933
Jon Lovitz,Casino Jack,2010
Ophelia Lovibond,Tommy's Honour,2017
Silvio Berlusconi,Videocracy,2009
Zuenir Ventura,Favela Rising,2005
Martin Hynes,George Lucas in Love,1999
Chadwick Boseman,Message from the King,2016
Tim Curry,Legend,1985
Birthe Buch,Lady and the Tramp,1955
Tyler Dawson,Bellflower,2011
James Caan,Honeymoon in Vegas,1992
Melkon Aleksanyan,The Color of Pomegranates (Sayat Nova ),1980
Tom Wilkinson,The Lone Ranger,2013
Al Pacino,I Knew It Was You: Rediscovering John Cazale,2009
June Squibb,I'll See You in My Dreams,2015
Joie Lee,Crooklyn,1994
Gunnar Hansen,"Murder, Set, Pieces",2004
Richard Denning,The Black Scorpion,1957
Pascal Greggory,Raja,2004
Eva Gabor,A New Kind of Love,1963
Halle Berry,New Year's Eve,2011
Doug Jones,The Bye Bye Man,2017
Louise Margolin,Le Voyage du Ballon Rouge (The Flight of the Red Balloon),2007
Chris Pine,Jack Ryan: Shadow Recruit,2014
Joe Viterelli,Analyze This,1999
Jim Gaffigan,Chappaquiddick,2018
Jason Ritter,Happy Endings,2005
Jennifer Dundas,Mrs. Soffel,1984
Nick Whitaker,Benji: Off the Leash!,2004
Billy Eichner,Most Likely to Murder,2018
Pina Bausch,Pina,2011
Sam Shepard,Patti Smith: Dream of Life,2008
Annabelle Wallis,The Mummy,2017
Lisa Pelikan,Lionheart,1991
George Gaynes,Police Academy,1984
Gugu Mbatha-Raw,Beyond the Lights,2014
Anne-Marie Duff,The Magdalene Sisters,2003
Justin Chatwin,Superbabies: Baby Geniuses 2,2004
David Little,Most Beautiful Island,2017
Debra Monk,Extreme Measures,1996
Catherine Lachens,French Twist (Gazon maudit),1995
David Siegel,The Queen of Versailles,2012
Richard Dreyfuss,Silent Fall,1994
Jacob Tremblay,Room,2015
Regine Nehy,Weapons,2007
Robbie Cleiren,The Broken Circle Breakdown,2013
Mary Stuart Masterson,Chances Are,1989
Cheryl Hines,The Ugly Truth,2009
Sam Huntington,Dylan Dog: Dead of Night,2011
Ashley Judd,Double Jeopardy,1999
Kate Capshaw,Just Cause,1995
Jason Robards,Burden of Dreams,1982
Howard Armstrong,Louie Bluie,1985
Margot Kidder,Sisters,1973
Henry Rollins,Wrong Turn 2: Dead End,2007
Donald Sutherland,The Eagle,2011
William Young,Mrs. Henderson Presents,2006
Matt Bushell,Behind Enemy Lines II: Axis of Evil,2006
Veronica Lake,This Gun for Hire,1942
Ioan Gruffudd,The Secret of Moonacre,2008
Sonny Landham,Lock Up,1989
Andy Garcia,City Island,2010
Ryan Smale,Absence,2013
Kiefer Sutherland,24: Redemption,2008
Richard Moll,Highlander III: The Sorcerer (Highlander: The Final Dimension),1993
Cam Gigandet,In the Blood,2014
Paz Vega,Sex and Lucia,2002
Gary Oldman,Red Riding Hood,2011
Kyle Catlett,Poltergeist,2015
Brent Roam,Toolbox Murders,2004
Anthony Head,Batman: Gotham by Gaslight,2018
Carol Kane,The Last Detail,1973
Paulina Gaitan,Sin Nombre,2009
Spalding Gray,Bliss,1997
Mel Gibson,We Were Soldiers,2002
Bernard Hopkins,Champs,2015
Linda Hunt,The Singing Revolution,2007
Tom Glynn-Carney,Dunkirk,2017
Matt Servitto,Two Family House,2000
Katy Murphy,Dear Frankie,2005
Tara Morice,Strictly Ballroom,1992
John Belushi,Goin' South,1978
Ewen Bremner,The Rundown,2003
William H. Macy,Blood Father,2016
Rebecca Windheim,The Year Dolly Parton Was My Mom,2011
Cathy Moriarty,Raging Bull,1980
Miguel Picazo,Thesis,1996
Peter Engman,A Song for Martin,2002
Dennis Hopper,The Crow: Wicked Prayer,2005
Nicholas Turturro,Federal Hill,1994
Ray Liotta,Crazy on the Outside,2010
Joss Ambler,Contraband,1940
Viktoria Mller,In Search of Memory (Auf der Suche nach dem Gedchtnis),2009
Christian Cabaniss,Hell and Back Again,2011
Souleymane Sy Savane,Goodbye Solo,2009
James Hong,Big Trouble in Little China,1986
Lena Dunham,Happy Christmas,2014
Scarlett Johansson,The Prestige,2006
Kimberly Beck,Friday the 13th - The Final Chapter,1984
Fidel Castro,Naqoyqatsi (Naqoyqatsi: Life as War),2002
Richard Benjamin,Saturday the 14th,1981
Brendan Gleeson,Green Zone,2010
Lisa Eilbacher,10 to Midnight,1983
Elizabeth Ashley,Broadway: The Golden Age,2004
Pakamisa Zwedala,The Tunnel Movie,2012
Nilbio Torres,Embrace Of The Serpent (El Abrazo De La Serpiente),2016
August Diehl,Mouth to Mouth,2006
Boris Karloff,The Sorcerers,1967
Hannah Hoekstra,The Canal,2014
Antonio Banderas,Shrek 2,2004
Janet Pierson,Reel Paradise,2005
Steve Bickel,Spine Tingler: The William Castle Story,2007
Richard E. Grant,Hemingway's Garden of Eden,2010
Anna Massey,Another Country,1984
Nicole Kidman,Birthday Girl,2002
Harrison Gilbertson,Accidents Happen,2010
Scott Adsit,Uncle Nick,2015
Catherine Samie,They Came Back,2004
James Stewart,Mr. Smith Goes to Washington,1939
Jiao Xu,CJ7,2008
Gina Gershon,Breathless,2012
Iain Glen,Darkness,2004
John P. Ryan,Delta Force 2: The Colombian Connection,1990
Chris Messina,Live By Night,2017
Tony Jaa,Furious 7,2015
Olivier Rabourdin,Taken,2009
Matthias Schoenaerts,Disorder (Maryland),2016
Cliff Robertson,The Devil's Brigade,1968
Anthony Michael Hall,Results,2015
Pierce Brosnan,Laws of Attraction,2004
Giancarlo Esposito,School Daze,1988
Diana Lynn,The Miracle of Morgan's Creek,1944
Hannah Herzsprung,Beloved Sisters,2015
Mel Gibson,Gallipoli,1981
Hank Harris,Hellbent,2005
Jennifer Beals,Roger Dodger,2002
Danny Glover,Death at a Funeral,2010
Jose Baviera,The Exterminating Angel (El ngel Exterminador),1967
Elisabeth Harnois,Mars Needs Moms,2011
John Caparulo,Vince Vaughn's Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,2008
Sean Connery,The Hill,1965
Tou Chung Hua,"Lust, Caution",2007
Melanie Mayron,Girlfriends,1978
Teri Polo,Meet the Parents,2000
Vince Vaughn,The Internship,2013
Vincent D'Onofrio,Death Wish,2018
Qi Shu,Mojin - The Lost Legend,2015
Freddie Highmore,Almost Friends,2017
Vincent Price,Twice Told Tales,1963
Ashley Boettcher,Aliens in the Attic,2009
Rachel Korine,Spring Breakers,2013
Richard Roxburgh,Stealth,2005
Dabney Coleman,Moonlight Mile,2002
David Ferrucci (II),Do You Trust this Computer?,2018
Evelyne Brochu,Caf de Flore,2012
Jenny Runacre,Husbands,1970
Rebecca Romijn,Godsend,2003
Kristofer Hivju,The Last King,2016
Peter Gallagher,The Man Who Knew Too Little,1997
Michael Ansara,Batman & Mr. Freeze: Subzero,1998
David Tennant,The Pirates! Band of Misfits,2012
Onslow Stevens,Them!,1954
Sylvia Sidney,Sabotage,1937
Jeff Bridges,The Cool School,2008
Philip Brodie,World of the Dead: The Zombie Diaries 2,2011
Varney Sherman,The Ambassador,2012
Jrmie Laheurte,Blue Is The Warmest Color,2013
Moussa Maaskri,Two Brothers,2004
Jerome Courshon,"God, Sex & Apple Pie",1999
Clara Bellar,Dominion: Prequel to the Exorcist,2005
Judith Dobrzynski,Portrait of Wally,2012
Liv Tyler,Empire Records,1995
Frank Wood,Greetings From Tim Buckley,2013
Thrse Liotard,My Father's Glory (La Gloria de Mon Pere),1990
Bryce Dallas Howard,The Loss of a Teardrop Diamond,2009
Mario Casas,Witching and Bitching,2014
Lexa Doig,Jason X,2002
Henry Czerny,Remember,2016
Jason Robards Sr.,Isle of the Dead,1945
Bingbing Fan,My Way,2011
Eric Schweig,Skins,2002
Cobie Smulders,Grassroots,2012
Clarence 'Don' Hutchenson,On the Outs,2005
Lal Paull,Before the Rains,2008
Goldie Hawn,Protocol,1984
Orlando Jones,Double Take,2001
Patrick O'Neal,New York Stories,1989
Ryan Guzman,Jem and the Holograms,2015
Jane Krakowski,Marci X,2003
Henry Fonda,Battle of the Bulge,1965
Peter Berg,Cop Land,1997
Diego Klattenhoff,Unconditional,2012
Lozano Corzo,The Shallows,2016
Gene Barry,The War of the Worlds,1953
Andrea King,The Beast With Five Fingers,1946
Jack Elliott,The Ballad of Ramblin' Jack,2000
Carolina Bang,The Last Circus,2011
Henry Hull,The Fountainhead,1949
Nova Pilbeam,The Man Who Knew Too Much,1935
Morgan Freeman,Hard Rain,1997
Scott Mechlowicz,Eurotrip,2003
Jeff Daniels,Mama's Boy,2007
Horst Krause,Schultze Gets the Blues,2005
Natascha McElhone,City of Ghosts,2003
Sonja Richter,The Homesman,2014
Edmond O'Brien,The Wild Bunch,1969
John Cullum,Held Up,2000
Phil Collins,Balto,1995
Zinedine Soualem,Roman de gare,2007
Diane Lane,The Perfect Storm,2000
Jean-Claude Dreyfus,The City of Lost Children (La Cit des Enfants Perdus),1995
Jean-Claude Van Damme,Masters of the Universe 2: Cyborg,1989
Alan Marshal,The Hunchback of Notre Dame,1939
Alek Skarlatos,The 15:17 to Paris,2018
August Schellenberg,Eight Below,2006
Octavia Spencer,The Shack,2017
Ethan Hawke,The Purge,2013
Tim Roth,Funny Games,2008
Nona Gaye,The Matrix Revolutions,2003
Ella Linnea Wahlestedt,Earth to Echo,2014
Tommy Lee Jones,Shock and Awe,2018
Alan Arkin,Sunshine Cleaning,2009
Mabel Karr,The Colossus of Rhodes,1961
John Ratzenberger,Toy Story,1995
Bhumika Chawla,"Gandhi, My Father",2007
Omar Sy,Samba,2015
Veronica Carlson,Frankenstein Must Be Destroyed,1969
J. Trevor Edmond,Pumpkinhead II: Blood Wings,1994
Lorella Cravotta,Romantics Anonymous,2011
Christopher Berry,Kidnap,2017
Wyatt Kapadia,Nursery University,2009
Gnes Sensoy,Mustang,2015
Diane Ladd,The Cemetery Club,1993
Michael Lerner,Harlem Nights,1989
Janet Jones,American Anthem,1986
Kevin Bishop,Russian Dolls (Les Poupes Russes),2006
Alfre Woodard,American Violet,2009
Maria Villar,Hermia & Helena,2017
Bernard Hepton,The Plague Dogs,1983
Rosie O'Donnell,Sleepless in Seattle,1993
Aunjanue Ellis,Undercover Brother,2002
Meryl Streep,Postcards from the Edge,1990
J. Carroll Naish,Blood and Sand,1941
Kirk Douglas,Gunfight at the O.K. Corral,1957
Patrick St. Espirit,I Am Wrath,2016
Peter Pejtsik,Becoming Santa,2011
Daniel Percival,Van Wilder: The Rise of Taj (Van Wilder 2),2006
Bojana Novakovic,The Hallow (The Woods),2015
Liam Neeson,Shining Through,1992
Larry Fessenden,Jug Face,2013
Sarah Jessica Parker,All Roads Lead to Rome,2008
Jan Udon,Shank,2010
Polly Adams,David & Layla,2007
Edward Chapman,Murder!,1930
Francisco Reyes,A Fantastic Woman (Una mujer fantstica),2018
Tyler James Williams,Unaccompanied Minors,2006
Philippe Jore,Li'l Quinquin,2015
Danny Huston,Frankenstein,2015
Serafina Fiore,Big Fan,2009
Dean Jones,Blackbeard's Ghost,1968
Nathalie Baye,And the Band Played On,1993
Mark,Union Square,2004
Chad McKnight,Synchronicity,2016
Elizabeth McGovern,Johnny Handsome,1989
Michelle Rodriguez,Girlfight,2000
Valrie Mas,Chroniques sexuelles d'une famille d'aujourd'hui (Sexual Chronicles of a French Family),2012
Ray Collins,The Magnificent Ambersons,1942
Gerry Becker,The Public Eye,1992
Greg Wise,Blackwood,2013
John Malkovich,Being John Malkovich,1999
Paul Rodriguez,Blood Work,2002
Ron O'Neal,Original Gangstas,1996
Steven Hartley,A Dog of Flanders,1999
Daniel Gillies,Captivity,2007
Akushula Selayah,"Tarzan, the Ape Man",1981
Kevin Hart,Captain Underpants: The First Epic Movie (Captain Underpants),2017
Anders Hove,Terribly Happy (Frygtelig lykkelig),2010
Vlad Ivanov,"Politist, adj. (Police, Adjective)",2009
Porter Hall,The Thin Man,1934
Monica Bellucci,The Whistleblower,2011
Michael J. Fox,Stuart Little,1999
Mustapha Goumane,Petits Frres,2001
Brendan Ward,Taps,1981
Ray Wise,Tim and Eric's Billion Dollar Movie,2012
Lee Marvin,The Big Heat,1953
Jayne County,Beautiful Darling,2011
Elizabeth Pea,Nothing Like the Holidays,2008
Ratha Pho,Warrior King 2 (The Protector 2),2014
Jamie Bell,Billy Elliot,2000
Leon Clingman,Action Point,2018
Robert Strauss,The Seven Year Itch,1955
Sophie Quinton,Nobody Else But You,2012
Sonja Ziemann,De Sade,2001
Marie Fret,Mozart's Sister,2011
Amy de Lucia,Super Troopers,2002
Cate Blanchett,Veronica Guerin,2003
Jack Nicholson,Goin' South,1978
Molly Forbes,You've Been Trumped,2012
Sid Beverly,The Filth and the Fury,2000
Peter Coyote,The Hebrew Hammer,2003
Danielle Bouffard,Touching Wild Horses,2002
Christopher Mintz-Plasse,ParaNorman,2012
Jess Weixler,Teeth,2007
Haibin Li,Devils on the Doorstep (Guizi lai le),2002
Margot Robbie,Suicide Squad,2016
Bonnie Bedelia,The Boy Who Could Fly,1986
Shelley Hennig,"Roman J. Israel, Esq.",2017
Jim Caviezel,The Count of Monte Cristo,2002
Cameron Diaz,Being John Malkovich,1999
Johnny Hallyday,Vengeance (Fuk sau),2010
Miranda Richardson,The Prince & Me,2004
Robert Downey Jr.,U.S. Marshals,1997
Mary Wells,Art & Copy,2009
Adam Sandler,The Week Of,2018
James Remar,Drugstore Cowboy,1989
Stevie Mizelle,If You Build It,2014
Madhur Mittal,Million Dollar Arm,2014
Tom Lennon,Rapture-Palooza,2013
Mike Bronner,Dr. Bronner's Magic Soapbox,2007
Ezra Miller,The Stanford Prison Experiment,2015
Emily Mortimer,The Sense Of An Ending,2017
Thora Birch,American Beauty,1999
Idalis DeLeon,Woman Thou Art Loosed,2004
Sultan Al Assaf,Wadjda,2013
Emma Fenton,Bridge to Terabithia,2007
Ali Wikalinska,American Teen,2008
Louise Griffiths,The Revenant,2012
Ronnie Wood,Shine a Light,2008
Eddie Marsan,Heartless,2010
Michael Keaton,Game 6,2005
Sydney Chaplin,Limelight,1952
Rmi Laurent,La Cage aux Folles,1979
Zak Bagans,Demon House,2018
Romain Duris,Paris,2008
Toni Collette,The Night Listener,2006
Leelee Sobieski,Max,2002
Jacob Latimore,Black Nativity,2013
Charles Bickford,Johnny Belinda,1948
Christopher Lloyd,Goin' South,1978
Jeremy Piven,Two for the Money,2005
Eva Lee Kuney,Penny Serenade,1941
Amanda Seyfried,The Big Wedding,2013
Saleh Bakri,When I Saw You,2012
Deborra-Lee Furness,Legend of the Guardians: The Owls of Ga'Hoole,2010
Melvil Poupaud,A Summer's Tale,2014
Famke Janssen,Love & Sex,2000
Rhys Wakefield,Sanctum,2011
Ben Stiller,Dodgeball - A True Underdog Story,2004
Catherine Mary Stewart,The Last Starfighter,1984
Gilles Lellouche,Thrse,2013
Maruschka Detmers,First Name - Carmen,1983
Dennis Hopper,The Osterman Weekend,1983
Harve Presnell,The Whole Wide World,1996
Tom Conway,Cat People,1942
Dhobi Oparei,Doom,2005
Holly Hunter,"O Brother, Where Art Thou?",2000
David Keith,Behind Enemy Lines,2001
Anthony Hopkins,Surviving Picasso,1996
Maud Adams,Octopussy,1983
Jamison Newlander,Lost Boys: The Tribe,2008
Will Seltzer,The Wizard,1989
Anthony Quayle,Anne of the Thousand Days,1969
Bonz Malone,Slam,1998
Ryan Kennedy,Embrace of the Vampire,2013
Timothy Treadwell,Grizzly Man,2005
Godfrey,Phat Girlz,2006
Sylvie Testud,For A Woman,2014
Niu Chen-er,Millennium Mambo (Qianxi Manbo),2001
Oded Fehr,Resident Evil: Apocalypse,2004
Michael Kelly,The Adjustment Bureau,2011
Gordon Brown,Journey Into Amazing Caves,2001
Rafi Gavron,Inkheart,2009
Susan Pollatschek,The Great Mouse Detective,1986
Juliana Donald,The Muppets Take Manhattan,1984
Bill Pullman,Bringing Up Bobby,2012
Tom Kenny,Shakes the Clown,1992
Rachel McAdams,Southpaw,2015
Estelle Winwood,Quality Street,1937
Edward Everett Horton,Sex and the Single Girl,1964
Tom Smothers,Roseanne for President!,2016
Pter Scherer,Pornography: A Thriller,2010
Brian Wimmer,Haunt,2014
Yu-Wen Wang,Rebels of the Neon God,2015
Donald Cook,The Public Enemy,1931
Miki Manojlovic,Underground,1995
Lubna Azabal,Paradise Now,2005
Cesar Romero,Batman: The Movie,1966
Grgory Mathieu,Evolution,2016
Christopher Kirby,Iron Sky,2012
Cole Hauser,Paparazzi,2004
Kirk Franklin,Joyful Noise,2012
Dina Meyer,Johnny Mnemonic,1995
Kelly Macdonald,Brave,2012
Charles King,Giuliani Time,2006
Kim Seong-oh,The Man From Nowhere,2010
Keiko Fujimori,The Fall of Fujimori,2006
Famke Janssen,X-Men: The Last Stand,2006
Ron Weyand,They Might Be Giants,1971
Tammy Baldwin (II),Outrage,2009
Bono,Bukowski: Born into This,2003
Jennifer Podemski,Jimmy P.,2014
Mark Bittner,The Wild Parrots of Telegraph Hill,2005
Seann William Scott,Role Models,2008
Lin Ching-Tai,Warriors of the Rainbow: Seediq Bale,2012
Ren Guerra,Don't Call Me Son (Me S H Uma),2016
Ann Magnuson,Glitter,2001
Al Pacino,Frankie & Johnny,1991
Gretchen Carlson,Persecuted,2014
Chevy Chase,National Lampoon's European Vacation,1985
John Forsythe,The Trouble with Harry,1955
Erin Moriarty (II),The Miracle Season,2018
Rosana Pastor,Mad Love,2002
Santiago Segura,Beyond Re-Animator,2003
Jennifer Ehle,Wilde,1998
Alex Hyde-White,The Reflecting Pool,2008
Jacqueline Bisset,The Mephisto Waltz,1971
Gwyneth Paltrow,The Talented Mr. Ripley,1999
Johnny Hallyday,The Man on the Train (L'homme du train),2003
Paul Dano,Youth,2015
Mathieu Nicourt,The Kidnapping of Michel Houellebecq,2015
Brad William Henke,Choke,2008
Jon Bon Jovi,Moonlight and Valentino,1995
Sasson Gabai,Rambo III,1988
Sam Wanamaker,Raw Deal,1986
Gene Nelson,Oklahoma!,1955
Richard Roxburgh,Oscar and Lucinda,1997
Barry Warren,Kiss of the Vampire,1963
Kika Markham,Killing Me Softly,2003
Tim Post,Enemy,2014
Nicolas Cage,The Weather Man,2005
Jonathan Brown,Project X,2012
Frances Fisher,Plush,2013
Leah Pipes,Sorority Row,2009
Will Smith,Ali,2001
Tricia Burke,Startup.com,2001
Tilda Swinton,Orlando,1993
Charles Chaplin,City Lights,1931
Isobel Elsom,Love Is a Many Splendored Thing,1955
Jeff Fahey,American Dresser,2018
Brent Jennings,Kansas,1988
Jon Abrahams,Prime,2005
Justin Theroux,The Spy Who Dumped Me,2018
Phil Harris,Robin Hood,1973
Jude Law,The Holiday,2006
Simon Bird (IV),The Inbetweeners,2012
Laurence Naismith,Village of the Damned,1960
Denise Richards,Starship Troopers,1997
Kelly Jo Minter,A Nightmare on Elm Street 5: The Dream Child,1989
Lilli Palmer,De Sade,2001
Geoffrey Rush,Gods Of Egypt,2016
Manu Bennett,Roger Corman's Death Race 2050,2016
Talia Shire,Rocky III,1982
John Cassavetes,Rosemary's Baby,1968
Robert Ryan,Crossfire,1947
Paul Dano,Explicit Ills,2009
Martin Maria Blau,Ginger e Fred (Ginger and Fred),1986
Lieutenant George Coker,Hearts and Minds,1975
Michel Piccoli,The Big Feast (La Grande Bouffe),1973
Josh Holloway,Sabotage,2014
Chuck Connors,Geronimo,1962
Arliss Howard,Full Metal Jacket,1987
Peter Stormare,Dark Summer,2015
Crispin Glover,Friday the 13th - The Final Chapter,1984
Amy Smart,Crank,2006
Jim Norton,Water for Elephants,2011
Bill Paxton,Brain Dead,1989
Piper Laurie,Hesher,2011
Angus Scrimm,Phantasm: OblIVion,1998
Jon Voight,Heat,1995
Taraji P. Henson,The Curious Case of Benjamin Button,2008
Martina Gedeck,The Lives of Others,2006
Iggy Pop,New York Doll,2005
David Freeman,Who Killed the Electric Car?,2006
Ernesto Gomez Cruz,El Norte,1984
Stephen Macht,The Monster Squad,1987
Mariel Hemingway,Delirious,1991
John Lithgow,Twilight Zone: The Movie,1983
James D'Arcy,Rise: Blood Hunter,2007
Jennifer Aniston,The Yellow Birds,2018
Emily Althaus,The Strange Ones,2018
Paula E. Sheppard,"Alice, Sweet Alice (Communion)",1976
Hayley Mills,Tiger Bay,1959
Anupam Kher,The Lion of Judah,2011
Jaime Bergman,Pauly Shore Is Dead,2003
Amanda Detmer,Boys and Girls,2000
Paul Carr,Executive Action,1973
Claudius Peters,Dying of the Light,2014
Elizabeth Harrower,The Sterile Cuckoo (Pookie),1969
Dermot Mulroney,Box of Moonlight,1997
Ana de Armas,Overdrive,2017
Margaret Rutherford,Murder She Said,1961
Marek Daniel,Venkovsk Ucitel (The Country Teacher),2008
Pedro Damien,Showtime,2002
Martin Landau,EDtv,1999
Jon Polito,The Freshman,1990
Joanne Dru,She Wore a Yellow Ribbon,1949
Mary Beth Hurt,The World According to Garp,1982
Daniel Gimnez Cacho,Bad Education,2004
